Food class level 1,Metrics,Concentration levels,Concentration levels
,Parsnip roots,3,591.8
,"Parsnip roots, PROCESS Baking",0.3,305.347
,"Parsnip roots, PROCESS Cooking in water",1.3,502.21
,"Parsnip roots, PROCESS Frying",0.3,305.347
,"Parsnip roots, PROCESS Steaming",1.3,502.21
,Pearl oyster mushrooms,3,422.093
,"Pearl oyster mushrooms, PROCESS Baking",2.2,214.316
,"Pearl oyster mushrooms, PROCESS Cooking in water",0.1,239.064
,"Pearl oyster mushrooms, PROCESS Steaming",0.1,326.063
,Peas (with pods) and similar-,0.4,287.957
,"Peas (with pods) and similar-, PROCESS Cooking in water",0,236.638
,"Peas (with pods) and similar-, PROCESS Frying",0.2,411.445
,"Peas (with pods) and similar-, PROCESS Steaming",0,237.07
,Peas shoots and sprouts,7,345.387
,Pickled / marinated vegetables,7,104.379
,Pumpkins,5,190.61
,"Pumpkins, PROCESS Baking",6.2,418.368
,"Pumpkins, PROCESS Cooking in water",5.2,130.828
,"Pumpkins, PROCESS Steaming",5.2,131.31
,Purslanes,381.9,1067.29
,Purslanes and similar-,381.9,1067.29
,Radish sprouts,0,430.61
,"Radish sprouts, PROCESS Cooking in water",0,239.67
,"Radish sprouts, PROCESS Steaming",0,282.678
,Radishes and similar-,2,285.44
,"Radishes and similar-, PROCESS Cooking in water",0,458.548
,"Radishes and similar-, PROCESS Steaming",0,458.765
,Red mustard leaves,566,383.155
,Rhubarbs,11,414.15
,"Rhubarbs, PROCESS Cooking in water",13,291.007
,"Rhubarbs, PROCESS Steaming",13,291.007
,Roman rocket,250.3,830.516
,Roman rocket and similar-,250,830.516
,Rosemary,4,743.939
,Sage,3,1190.814
,Salsifies,0,416.7
,"Salsifies, PROCESS Cooking in water",0,289.433
,"Salsifies, PROCESS Steaming",0,289.433
,Sauerkraut,,
,"Sauerkraut, PROCESS Baking",28,434.068
,"Sauerkraut, PROCESS Cooking in water",31,265.25
,"Sauerkraut, PROCESS Steaming",31,265.25
,Shallots,1,260.96
,"Shallots, PROCESS Baking",8.2,262.883
,"Shallots, PROCESS Cooking in water",0,230.936
,"Shallots, PROCESS Frying",1,284.548
,Shiitake,0.3,169.664
,"Shiitake, PROCESS Baking",0,168.21
,"Shiitake, PROCESS Cooking in water",0,152.389
,"Shiitake, PROCESS Frying",3.3,298.87
,"Shiitake, PROCESS Steaming",0,152.389
,Sorrel,0.9,435.442
,Soyabeans sprouts,0,367.557
,"Soyabeans sprouts, PROCESS Cooking in water",0,324.097
,"Soyabeans sprouts, PROCESS Steaming",0,324.097
,Spinaches,382,775.78
,Spinaches and similar-,382,775.78
,"Spinaches and similar-, PROCESS Baking",420,866.202
,"Spinaches and similar-, PROCESS Cooking in water",428,514.584
,"Spinaches and similar-, PROCESS Steaming",403,514.733
,"Spinaches, PROCESS Baking",420,866.01
,"Spinaches, PROCESS Cooking in water",428,514.624
,"Spinaches, PROCESS Steaming",403,514.773
,Spirulina,0,314.694
,Spring onions,1,343.887
,"Spring onions, PROCESS Baking",0,447.236
,"Spring onions, PROCESS Cooking in water",0,432.959
,"Spring onions, PROCESS Frying",0.1,301.83
,"Spring onions, PROCESS Steaming",0,432.535
,"Sprouts, shoots and similar",6,163.43
,"Sprouts, shoots and similar, PROCESS Cooking in water",1,122.479
,"Sprouts, shoots and similar, PROCESS Steaming",1,122.479
,Sun-dried tomatoes,30,601.852
,"Sunflower shoots and sprouts, PROCESS Steaming",0.9,460.69
,Swedes,6,274.1
,"Swedes, PROCESS Baking",5,273.091
,"Swedes, PROCESS Cooking in water",6,128.49
,"Swedes, PROCESS Steaming",6,128.49
,Sweet corn,3.4,395.49
,Sweet corn canned,3.268,329.735
,"Sweet corn, PROCESS Baking",3.8,436.65
,"Sweet corn, PROCESS Cooking in water",3,362.8
,"Sweet corn, PROCESS Steaming",3,362.8
,Sweet peppers,5,207.493
,"Sweet peppers, PROCESS Baking",5.2,301.689
,"Sweet peppers, PROCESS Cooking in water",6,232.201
,"Sweet peppers, PROCESS Frying",,200.38
,"Sweet peppers, PROCESS Steaming",6,232.473
,Tarragon,0,727.212
,Thyme,0.4,1063.803
,Tigernuts,0,277.33
,"Tigernuts, PROCESS Steaming",0,116.498
,Tomato puree,0,1362.83
,Tomatoes and similar-,6,291.17
,"Tomatoes and similar-, PROCESS Baking",7.6,344.69
,"Tomatoes and similar-, PROCESS Cooking in water",7,281.582
,"Tomatoes and similar-, PROCESS Steaming",6,293.399
,Truffles,2.2,646.7
,Turnips,3,378.523
,"Turnips, PROCESS Baking",2.6,312.619
,"Turnips, PROCESS Cooking in water",3,283.321
,"Turnips, PROCESS Steaming",3,283.321
,Vietnamese mint,5.5,4111.579
,Wakame,0,425.35
,"Wakame, PROCESS Cooking in water",0,253.667
,"Wakame, PROCESS Steaming",0,253.667
,Watercresses,315.3,472.62
,Watercresses and similar-,250.9,472.62
,Watermelons,0.25,125.08
,White ginger,38.5,1814.211
,Winter savory,0,614.038
,Witloofs,0,225.403
,"Witloofs, PROCESS Baking",2.2,290.994
,"Witloofs, PROCESS Cooking in water",0,161.635
,"Witloofs, PROCESS Steaming",0,161.687
Water and water-based beverages,Bottled drinking water,0,7
,"Cola beverages, caffeinic",0,38.01
,"Cola beverages, decaffeinated",0,3
,"Cola mix, flavoured cola",0.1,18.274
,Cola-type drinks,0,38.01
,Diet soft drink with caffeine,0,25.01
,Diet soft drinks with flavours,0,7.2
,Diet soft drinks with fruit juice,0,15.042
,Energy drinks,0.4,33.66
,Filtered tap water,0,0
,Flavoured bottled water,4.1,31.381
,"Flavoured bottled water, FORT Combination of vitamin and mineral only supplements",4,89.881
,"Flavoured bottled water, FORT Mineral only supplements",4,18.231
,"Flavoured bottled water, FORT Vitamin only supplements",4,89.881
,Fortified bottled water,4,18.251
,"Fruit soft drink, currant red",3,22.12
,"Fruit soft drink, gooseberry",0,22
,"Fruit soft drink, grape red",2,22.089
,"Fruit soft drink, grape white",2,22.089
,"Fruit soft drink, grapefruit",0,22.026
,"Fruit soft drink, mixed fruit",0,43
,"Fruit soft drink, orange",0,22.026
,"Fruit soft drink, pear",0,22
,"Fruit soft drink, pineapple",0,22
,"Fruit soft drink, plum",0,22
,"Fruit soft drink, raspberry",0,22
,Isotonic and sport drinks,2,16.102
,Liquid drink bases (including concentrates and home-made preparations),2,67.58
,Natural mineral water,0,9
,Powdered drink bases,0,227.71
,Soft drink with bitter principle,0,1
,"Soft drink, apple flavour",0,3
,"Soft drink, cherry flavour",0,3
,"Soft drink, flavoured with herbs",0,3
,"Soft drink, flavoured, no fruit",0,7.101
,"Soft drink, lemon flavour",0,6
,"Soft drink, lime flavour",0,3
,"Soft drink, mixed flavours",0,15.001
,"Soft drink, orange flavour",0,3
,"Soft drink, with fruit juice (fruit content below the minimum for nectars)",0,43.026
,Tap water,0,7
